name,lat,lng
서울안산초등학교,37.5790158,126.9515238
서울역촌초등학교,37.6017382,126.9144059
서울연가초등학교,37.5802016,126.9180758
서울연광초등학교,37.6238264,126.9240662
서울연신초등학교,37.6262605,126.9282737
서울연은초등학교,37.59038230000001,126.9252543
서울연천초등학교,37.6208582,126.9294874
서울연희초등학교,37.5692223,126.9337715
서울염리초등학교,37.542499,126.9461953
서울용강초등학교,37.5486147,126.9440167
서울은명초등학교,37.5976046,126.9186815
서울은빛초등학교,37.63517119999999,126.9200278
서울은진초등학교,37.632607,126.9209282
서울은평초등학교,37.6019568,126.9341059
서울응암초등학교,37.5882608,126.9217624
서울인왕초등학교,37.5901698,126.9450604
서울중동초등학교,37.5666246,126.911279
서울증산초등학교,37.5821614,126.9043095
서울진관초등학교,37.645051,126.9291301
서울창서초등학교,37.5576674,126.9338905
서울창천초등학교,37.5550078,126.939668
서울하늘초등학교,37.5855241,126.8806962
서울한서초등학교,37.5535966,126.9495758
서울홍연초등학교,37.581921,126.930807
서울홍은초등학교,37.5974548,126.9496287
서울홍제초등학교,37.5931186,126.9448285
경기초등학교,37.5648923,126.9628701
명지초등학교,37.5835561,126.9280461
선일초등학교,37.6197216,126.9132521
알로이시오초등학교,37.5981837,126.9281816
예일초등학교,37.6101791,126.9151623
은혜초등학교,37.6177491,126.9275474
이화여자대학교사범대학부속초등학교,37.5612266,126.9426231
추계초등학교,37.5628641,126.9531684
충암초등학교,37.5852815,126.9225855
홍익대학교사범대학부속초등학교,37.5601993,126.9126511
서울가산초등학교,37.477878,126.896424
서울개명초등학교,37.4828583,126.8505447
서울개봉초등학교,37.4897388,126.8583705
서울개웅초등학교,37.4885697,126.8500524
서울고산초등학교,37.499291,126.8653435
서울고원초등학교,37.4974294,126.8659718
서울고척초등학교,37.5006668,126.8569942
서울구로남초등학교,37.4848279,126.8905958
서울구로초등학교,37.4968195,126.8858694
서울구일초등학교,37.4927953,126.8729275
서울금동초등학교,37.4474274,126.9164264
서울금산초등학교,37.4418157,126.908303
서울금천초등학교,37.4546495,126.9126228
서울당산초등학교,37.5397741,126.8963677
서울당서초등학교,37.5319593,126.8997323
서울당중초등학교,37.5263783,126.8897251
서울대길초등학교,37.4977844,126.9132303
서울대동초등학교,37.4935084,126.9004086
서울군자초등학교,37.5644532,127.061517
서울답십리초등학교,37.569003,127.0554225
서울동답초등학교,37.5718166,127.0642055
서울동원초등학교,37.6047385,127.1049497
서울망우초등학교,37.59831459999999,127.1035908
서울면남초등학교,37.57698389999999,127.0880206
서울면동초등학교,37.5852267,127.0865939
서울면목초등학교,37.591356,127.0876154
서울면북초등학교,37.5944753,127.1034704
서울면일초등학교,37.5921204,127.0998536
서울면중초등학교,37.5821232,127.0966459
서울묵동초등학교,37.6040651,127.0814476
서울묵현초등학교,37.6089983,127.073615
서울배봉초등학교,37.580028,127.0659414
서울봉화초등학교,37.613289,127.0923924
서울상봉초등학교,37.5981845,127.0836002
서울새솔초등학교,37.6179739,127.1113504
서울신내초등학교,37.6048021,127.1001538
서울신답초등학교,37.5730675,127.0433249
서울신묵초등학교,37.6072679,127.0755154
서울신현초등학교,37.6055132,127.0934688
서울안평초등학교,37.5657342,127.0713495
서울용두초등학교,37.5757428,127.0288848
서울원묵초등학교,37.6176694,127.0860686
서울이문초등학교,37.6015981,127.0650878
서울장평초등학교,37.5738145,127.0732688
서울전곡초등학교,37.58057549999999,127.0562692
서울전농초등학교,37.574489,127.0542426
서울전동초등학교,37.5790952,127.061138
서울종암초등학교,37.5821589,127.0311722
서울중곡초등학교,37.5745386,127.083847
서울중랑초등학교,37.5893695,127.0757187
서울중목초등학교,37.5897528,127.0793385
서울중화초등학교,37.6030662,127.0946718
서울중흥초등학교,37.6016352,127.08414
서울청량초등학교,37.5919847,127.0558443
서울홍릉초등학교,37.5909629,127.0474406
서울홍파초등학교,37.5858976,127.0395874
서울휘경초등학교,37.5857622,127.0581161
서울휘봉초등학교,37.5859982,127.0701535
경희초등학교,37.5961951,127.052544
금성초등학교,37.6150693,127.0900306
서울삼육초등학교,37.5891697,127.0477488
은석초등학교,37.5777907,127.0752098
서울갈현초등학교,37.6192867,126.9166431
서울고은초등학교,37.5847872,126.9433678
서울공덕초등학교,37.5457314,126.9540836
서울구산초등학교,37.6124476,126.9094685
서울구현초등학교,37.6092227,126.9058482
서울금화초등학교,37.5683284,126.9630251
서울녹번초등학교,37.604001,126.926335
서울대신초등학교,37.5580828,126.947849
서울대은초등학교,37.6121672,126.9259733
서울대조초등학교,37.6132233,126.9195423
서울동교초등학교,37.5582046,126.9023504
서울마포초등학교,37.5384272,126.9494344
서울망원초등학교,37.5608234,126.9008405
서울미동초등학교,37.5631003,126.9662737
서울북가좌초등학교,37.5774792,126.9074665
서울북성초등학교,37.559433,126.951959
서울북한산초등학교,37.6540608,126.950338
서울불광초등학교,37.6130323,126.9309819
서울상신초등학교,37.5976771,126.9048
서울상암초등학교,37.5759905,126.8922651
서울상지초등학교,37.5796975,126.8821522
서울서강초등학교,37.5483494,126.9265893
서울서교초등학교,37.5546731,126.9251258
서울서신초등학교,37.5925304,126.9075312
서울성산초등학교,37.5534098,126.9111567
서울성서초등학교,37.5605411,126.9111163
서울성원초등학교,37.5672887,126.9052439
서울소의초등학교,37.5522966,126.9608016
서울수리초등학교,37.6196923,126.9333781
서울수색초등학교,37.58492,126.8954215
서울신도초등학교,37.6327684,126.9291409
서울신북초등학교,37.5712061,126.9051164
서울신사초등학교,37.5926639,126.9121215
서울신석초등학교,37.5440646,126.937863
서울아현초등학교,37.5555103,126.9559661
서울대방초등학교,37.5026701,126.9191481
서울대영초등학교,37.5023694,126.9061518
서울덕의초등학교,37.5062766,126.8567988
서울도림초등학교,37.5079851,126.9068392
서울도신초등학교,37.4987722,126.9008811
서울독산초등학교,37.4651014,126.9000078
서울동구로초등학교,37.4915548,126.8922898
서울두산초등학교,37.4672494,126.8909721
서울매봉초등학교,37.5046996,126.844375
서울문교초등학교,37.4667151,126.9089754
서울문래초등학교,37.5185396,126.8932156
서울문백초등학교,37.4470088,126.8995074
서울문성초등학교,37.4747768,126.8994644
서울미래초등학교,37.505016,126.8879424
서울백산초등학교,37.4465482,126.9050911
서울선유초등학교,37.5328162,126.8927942
서울세곡초등학교,37.5048823,126.849058
서울시흥초등학교,37.4546436,126.9049575
서울신구로초등학교,37.499552,126.8893658
서울신대림초등학교,37.492244,126.9058212
서울신도림초등학교,37.5123256,126.8833965
서울신미림초등학교,37.5069274,126.8794934
서울신영초등학교,37.5006847,126.8957265
서울신흥초등학교,37.4596867,126.9090436
서울안천초등학교,37.4585946,126.8883555
서울여의도초등학교,37.5228802,126.9364734
서울영남초등학교,37.4754537,126.9094917
서울영동초등학교,37.5263594,126.9074081
서울영등포초등학교,37.5129331,126.8992618
서울영림초등학교,37.4873525,126.9024483
서울영문초등학교,37.5194948,126.8876574
서울영서초등학교,37.4882883,126.8946742
서울영신초등학교,37.509968,126.918009
서울영원초등학교,37.5106756,126.9022107
서울영일초등학교,37.4853017,126.8840736
서울영중초등학교,37.5236591,126.9038138
서울오류남초등학교,37.4896067,126.8387106
서울오류초등학교,37.4981498,126.8423284
서울오정초등학교,37.489624,126.8265149
서울온수초등학교,37.4940717,126.825993
서울우신초등학교,37.509564,126.9118923
서울윤중초등학교,37.5197287,126.9227921
서울정심초등학교,37.4717252,126.908326
서울천왕초등학교,37.4814038,126.8370135
서울탑동초등학교,37.4524341,126.9149142
서울흥일초등학교,37.462335,126.9074
동광초등학교,37.4513899,126.916402
서울가인초등학교,37.6599068,127.0431592
서울계상초등학교,37.66271,127.0682669
서울공릉초등학교,37.6188016,127.0741878
서울공연초등학교,37.6272531,127.0741645
서울노원초등학교,37.6733178,127.0582937
서울노일초등학교,37.6732915,127.0547777
서울연지초등학교,37.6334788,127.059984
서울연촌초등학교,37.6350647,127.0728621
서울오봉초등학교,37.6718842,127.0402882
서울온곡초등학교,37.6676082,127.0657902
서울용동초등학교,37.6416784,127.0694395
서울용원초등학교,37.6296027,127.0688662
서울원광초등학교,37.6542123,127.0747887
서울월계초등학교,37.6276635,127.0504153
서울월천초등학교,37.6478402,127.0522016
서울을지초등학교,37.6503519,127.0731299
서울자운초등학교,37.6577174,127.0463946
서울중계초등학교,37.6577549,127.0730277
서울중원초등학교,37.6436137,127.0628262
서울중평초등학교,37.6372796,127.0640898
서울중현초등학교,37.6324175,127.0662355
서울창경초등학교,37.6561144,127.0347544
서울창도초등학교,37.663831,127.0490956
서울창동초등학교,37.6551924,127.0446861
서울창림초등학교,37.6429724,127.0415487
서울창원초등학교,37.6525531,127.040553
서울창일초등학교,37.6471695,127.0476797
서울청계초등학교,37.6448867,127.066442
서울초당초등학교,37.6584988,127.0221014
서울태랑초등학교,37.6259486,127.0905347
서울태릉초등학교,37.6228668,127.0852435
서울한천초등학교,37.6204638,127.069013
동북초등학교,37.655351,127.0268289
상명초등학교,37.6484702,127.0675904
청원초등학교,37.66602839999999,127.0620129
태강삼육초등학교,37.6418084,127.1104755
한신초등학교,37.6529105,127.0318063
화랑초등학교,37.6292222,127.0905514
서울대학교사범대학부설초등학교,37.5770935,127.0038022
서울광희초등학교,37.5674432,127.0151689
서울교동초등학교,37.5748894,126.9878998
서울금양초등학교,37.5406238,126.9613359
서울남산초등학교,37.5600487,126.9867684
서울남정초등학교,37.5360588,126.9649883
서울덕수초등학교,37.5685606,126.9744424
서울독립문초등학교,37.5741434,126.9602252
서울매동초등학교,37.5772345,126.9668504
서울명신초등학교,37.5812388,127.013846
서울보광초등학교,37.5324844,126.9963061
서울봉래초등학교,37.5561784,126.9637888
서울삼광초등학교,37.5473619,126.9768231
서울서빙고초등학교,37.5214444,126.9921325
서울세검정초등학교,37.6033878,126.9608999
서울숭신초등학교,37.5720226,127.0174768
서울신당초등학교,37.56371499999999,127.0237741
서울신용산초등학교,37.520194,126.9756071
서울용산초등학교,37.5352899,126.9720729
서울용암초등학교,37.5448696,126.9891625
서울원효초등학교,37.536038,126.951778
서울이태원초등학교,37.5360669,126.987859
서울장충초등학교,37.5594818,127.0114141
서울재동초등학교,37.5799027,126.9855858
서울창신초등학교,37.5760326,127.0143822
서울청구초등학교,37.5582656,127.0141364
서울청운초등학교,37.5859741,126.9691707
서울청파초등학교,37.5475544,126.9640802
서울충무초등학교,37.5619668,127.001346
서울한강초등학교,37.525214,126.9651087
서울한남초등학교,37.5392493,127.0051252
서울혜화초등학교,37.5888137,127.0000249
서울효제초등학교,37.5728828,127.0032572
서울후암초등학교,37.5512799,126.9822369
서울흥인초등학교,37.5604251,127.0142995
동산초등학교,37.55636459999999,127.0170724
리라초등학교,37.5579702,126.9885837
상명대학교사범대학부속초등학교,37.6008592,126.9562296
숭의초등학교,37.5567763,126.9875325
신광초등학교,37.5431703,126.9699957
운현초등학교,37.5758393,126.987819
서울가동초등학교,37.4973198,127.130219
서울가락초등학교,37.5001667,127.1076957
서울가원초등학교,37.4893692,127.1110221
서울가주초등학교,37.4965183,127.129179
서울강덕초등학교,37.5589422,127.1607706
서울강동초등학교,37.5461063,127.1304605
서울강명초등학교,37.5548237,127.1733219
서울강일초등학교,37.5649609,127.1771117
서울개롱초등학교,37.49736770000001,127.1398426
서울거여초등학교,37.5047528,127.1410936
서울거원초등학교,37.4878179,127.1447579
서울고덕초등학교,37.5610786,127.1663766
서울고명초등학교,37.5530322,127.14682
서울고일초등학교,37.5520025,127.1690875
서울길동초등학교,37.5383348,127.144282
서울남천초등학교,37.5011739,127.1505715
서울대명초등학교,37.5476037,127.1528696
서울둔촌초등학교,37.5257926,127.1371774
서울마천초등학교,37.4954974,127.1524746
서울명덕초등학교,37.5568201,127.1460547
서울명원초등학교,37.5508081,127.1503974
서울명일초등학교,37.5541887,127.142162
서울묘곡초등학교,37.5584546,127.1531803
서울문덕초등학교,37.4852891,127.1275633
서울문정초등학교,37.4891859,127.128957
서울문현초등학교,37.4827534,127.1302443
서울방산초등학교,37.5096455,127.1211143
서울방이초등학교,37.5130915,127.1205626
서울버들초등학교,37.5103926,127.0890283
서울삼전초등학교,37.5015071,127.0927452
서울상일초등학교,37.5471517,127.1723531
서울석촌초등학교,37.5027584,127.1048724
서울선린초등학교,37.529447,127.1460489
서울선사초등학교,37.5558399,127.1284369
서울성내초등학교,37.5314221,127.1224451
서울성일초등학교,37.5291763,127.1283603
서울세륜초등학교,37.5183539,127.1341356
서울송례초등학교,37.4777421,127.1383172
서울송전초등학교,37.5084993,127.0949748
서울송파초등학교,37.5070348,127.1107382
서울신가초등학교,37.5003769,127.1198579
서울신명초등학교,37.54121629999999,127.1497531
서울신암초등학교,37.549484,127.1244002
서울신천초등학교,37.51396,127.0950429
서울아주초등학교,37.5052357,127.0757775
서울영풍초등학교,37.4962643,127.1429912
서울오금초등학교,37.5091778,127.1317034
서울오륜초등학교,37.5120998,127.1343725
서울위례초등학교,37.522015,127.139233
서울잠동초등학교,37.5178922,127.1001529
서울잠신초등학교,37.5141325,127.0879195
서울잠실초등학교,37.5202095,127.1114301
서울잠일초등학교,37.5060213,127.0872509
서울잠전초등학교,37.5071595,127.0842277
서울잠현초등학교,37.5213517,127.1026097
서울중대초등학교,37.4994062,127.1135642
서울천동초등학교,37.5405099,127.1375876
서울천일초등학교,37.5441771,127.1333855
서울천호초등학교,37.5473577,127.1364529
서울토성초등학교,37.5316979,127.1155695
서울녹천초등학교,37.6288012,127.0631131
서울누원초등학교,37.68693040000001,127.0490694
서울당현초등학교,37.6485979,127.058454
서울덕암초등학교,37.6664888,127.0814678
서울도봉초등학교,37.6793783,127.038218
서울동일초등학교,37.6651664,127.0545951
서울방학초등학교,37.6640285,127.0321675
서울백운초등학교,37.6532035,127.0139875
서울불암초등학교,37.6510667,127.0806469
서울상경초등학교,37.67020840000001,127.0513209
서울상계초등학교,37.65931150000001,127.0662421
서울상곡초등학교,37.6627869,127.062515
서울상수초등학교,37.6515858,127.0647353
서울상원초등학교,37.6671878,127.0598254
서울상월초등학교,37.658608,127.05707
서울상천초등학교,37.6462819,127.0581071
서울선곡초등학교,37.6184174,127.0582095
서울수락초등학교,37.6842872,127.0548343
서울수암초등학교,37.6478737,127.0813718
서울숭미초등학교,37.6508453,127.0279643
서울신계초등학교,37.6301665,127.052988
서울신방학초등학교,37.6659578,127.0292294
서울신상계초등학교,37.66747429999999,127.0757904
서울신창초등학교,37.6361731,127.0421969
서울신학초등학교,37.6609904,127.0255131
서울신화초등학교,37.6326698,127.0408596
서울쌍문초등학교,37.6486367,127.0243793
서울평화초등학교,37.4914378,127.1228091
