name,lat,lng
국악고등학교,37.475978,127.0516132
서울대학교사범대학부설고등학교,37.5927271,127.0378518
전통예술고등학교,37.4463538,126.9064243
가락고등학교,37.5011923,127.1165911
가재울고등학교,37.574226,126.9095651
강일고등학교,37.5639542,127.1777318
개포고등학교,37.4846776,127.0596014
경기고등학교,37.51612650000001,127.05525
경기여자고등학교,37.486824,127.0660933
경동고등학교,37.586143,127.0149147
경복고등학교,37.5871648,126.9714148
경인고등학교,37.4964627,126.8657015
경일고등학교,37.5438361,127.0475209
고척고등학교,37.5085758,126.8506504
공항고등학교,37.5686983,126.8063749
관악고등학교,37.5214974,126.882934
광남고등학교,37.5413179,127.1018748
광양고등학교,37.5293846,127.0855989
구로고등학교,37.4984981,126.8896924
구암고등학교,37.491848,126.948524
구일고등학교,37.4941106,126.873852
구현고등학교,37.5022703,126.8744126
금옥여자고등학교,37.5106219,126.8442611
금천고등학교,37.444959,126.9055327
노원고등학교,37.6621121,127.0532508
누원고등학교,37.6855142,127.0498868
당곡고등학교,37.4929973,126.9289254
대영고등학교,37.5033892,126.9056461
도봉고등학교,37.6867707,127.0428051
독산고등학교,37.4760267,126.9108536
동작고등학교,37.4823386,126.9652979
둔촌고등학교,37.530868,127.1439317
등촌고등학교,37.5625935,126.8450161
면목고등학교,37.5842779,127.0971627
명일여자고등학교,37.549855,127.1500544
무학여자고등학교,37.557398,127.03352
문정고등학교,37.4847089,127.1267288
문현고등학교,37.4812764,127.1287497
미양고등학교,37.6232973,127.0122428
반포고등학교,37.5022177,127.016153
방산고등학교,37.508227,127.1204817
불암고등학교,37.648924,127.0801792
삼각산고등학교,37.6160082,127.0200563
삼성고등학교,37.4767039,126.9348428
상계고등학교,37.6525328,127.0556823
상암고등학교,37.5813449,126.8836186
서울고등학교,37.4842697,127.005399
서울과학고등학교,37.5916754,126.9982134
서울국제고등학교,37.59134,126.9959635
서울여자고등학교,37.5478121,126.9485819
서울체육고등학교,37.5216734,127.130579
서초고등학교,37.4893551,127.0057059
석관고등학교,37.610067,127.0664232
선사고등학교,37.5564791,127.1359719
선유고등학교,37.5334079,126.894824
성동고등학교,37.5641365,127.0232038
성수고등학교,37.547981,127.0387013
