name,lat,lng
가락DT점,37.4948541,127.1307848
가산디지털점,37.4813766,126.8837051
가산비지니스센터점,37.480127,126.881037
강남2호점,37.4986551,127.0287443
강남구청점,37.5162358,127.0413134
강남삼성DT,37.5107997,127.0473156
강동구청점,37.5302906,127.1225998
고척DT,37.4972276,126.8635355
공덕점,37.5415373,126.947251
과학기술대점,37.6297228,127.0761199
구로디지탈,37.4849599,126.8952591
구로애경점,37.5012056,126.8827953
구산점,37.6105732,126.9166811
구의역점,37.5363941,127.0844723
굽은다리역DT,37.5472557,127.1429838
노량진점,37.5133884,126.9434941
대학로점,37.5828493,127.0020997
등촌DT점,37.5582134,126.8597362
마리오아울렛점,37.4780162,126.8873698
명동 2호점,37.5605158,126.9846104
명동점,37.5641319,126.9845364
명지대점,37.5798956,126.9247248
목동점,37.5281168,126.8637187
미아DT점,37.6180934,127.0217077
미아역점,37.6269228,127.0263081
미아점,37.6131057,127.0303835
방배점,37.4816001,126.9971013
방학역DT점,37.6700479,127.0432738
보라매,37.5001596,126.919916
삼선교점,37.5893626,127.0075191
삼성역점,37.5082794,127.0587636
상계DT점,37.6723948,127.056223
상일동점,37.549662,127.175266
서울교대점,37.4939517,127.0161834
서울동묘역점,37.5731101,127.0150966
서울둔촌DT,37.5292801,127.1373345
서울번동DT점,37.6211416,127.0452455
서울상암DMC,37.5804334,126.8894764
서울시청점,37.5667752,126.9794837
서울시흥DT점,37.45046,126.9026214
서울역점,37.5545552,126.9713297
서초GS점,37.4861983,127.0097245
서초뱅뱅점,37.490267,127.030605
석촌역점,37.50598730000001,127.1091036
선릉점,37.5035079,127.0470215
성균관대점,37.5833462,126.9988538
세이브존 노원점,37.636639,127.0684032
송정역점,37.5617109,126.8096805
송파 잠실 DT점,37.5043608,127.0770505
수유점,37.6379094,127.0260243
숭실대점,37.4950712,126.9568872
신내점,37.6064082,127.0946811
신도림 테크노점,37.5070431,126.8902185
신도림디큐브점,37.5084321,126.8887332
신림점,37.481961,126.9301432
신사역점,37.5174146,127.021881
신월DT점,37.5313045,126.8307431
신월SK DT점,37.5195591,126.8387341
신천점,37.5113884,127.0827508
쌍문DT점,37.6535816,127.0371852
안국역점,37.5762691,126.9843569
안암점,37.5843651,127.0292506
압구정CGV점,37.5245371,127.0288351
양재SK DT점,37.4780706,127.03961
양재점,37.482717,127.0349215
양천구청DT점,37.5154644,126.8629536
양평SK점,37.5309805,126.893343
어린이대공원점,37.5472224,127.0730854
여의도점,37.524839,126.925631
연세대점,37.5585515,126.9367086
연신내점,37.6175938,126.919214
염창 DT점,37.5476267,126.8715004
영등포점,37.5169483,126.9076279
왕십리점,37.5621262,127.0337113
이마트 상봉점,37.596438,127.0935903
이마트 성수점,37.5399389,127.0531674
이마트 은평점,37.6003074,126.9201131
이수점,37.4843975,126.9804278
이태원점,37.5339219,126.9896847
잠실역점,37.5150441,127.0996365
장안사거리점,37.5725065,127.0726193
전농점,37.5781745,127.0577668
종로3가점,37.5705692,126.9904521
종암SK점,37.5956106,127.0360234
중계역점,37.6482931,127.0620751
중계점,37.6508113,127.0759834
중랑점,37.5934464,127.0754588
중앙대점,37.5063782,126.9589533
청담DT점,37.5236725,127.0402442
코엑스,37.5101935,127.0585824
파리공원점,37.5371499,126.8810101
한국외대점,37.59584230000001,127.0618743
한양대점,37.5571859,127.041905
한티점,37.4973307,127.0551532
합정 메세나폴리스,37.5510614,126.9133225
홍익대점,37.5549797,126.922095
홍제역점,37.5886171,126.9446373
