name,address
가락DT점,서울특별시 송파구 서울특별시 송파구 가락동 193-7
가산디지털점,서울특별시 금천구 서울특별시 금천구 가산동 50-3 대륭포스트타워6차 1층
가산비지니스센터점,서울특별시 금천구 서울특별시 금천구 가산동 371-6 가산비지니스센터
강남2호점,서울특별시 강남구 서울특별시 강남구 역삼동 822-2 비전타워 2층
강남구청점,서울특별시 강남구 서울특별시 강남구 논현동 242-29
강남삼성DT,서울특별시 강남구 서울특별시 강남구 삼성동 113-7
강동구청점,서울특별시 강동구 서울특별시 강동구 성내동 539-2
고척DT,서울특별시 구로구 서울특별시 구로구 고척동 73-20
공덕점,서울특별시 마포구 서울특별시 마포구 도화동 559 마포트라팰리스 1층
과학기술대점,서울특별시 노원구 서울특별시 노원구 공릉동 435-2
구로디지탈,서울특별시 구로구 서울특별시 구로구 구로동 197-21 태평양물산 1층
구로애경점,서울특별시 구로구 서울특별시 구로구 구로동 573 애경백화점
구산점,서울특별시 은평구 서울특별시 은평구 구산동 1-14
구의역점,서울특별시 광진구 서울특별시 광진구 자양동 216-11
굽은다리역DT,서울특별시 강동구 서울특별시 강동구 천호동 31-10
노량진점,서울특별시 동작구 서울특별시 동작구 노량진1동 100-1
대학로점,서울특별시 종로구 서울특별시 종로구 동숭동 1-34
등촌DT점,서울특별시 강서구 서울특별시 강서구 등촌동 630
마리오아울렛점,서울특별시 금천구 서울특별시 금천구 가산동 60-52 마리오 아울렛 1관
명동 2호점,서울특별시 중구 서울특별시 중구 회현동3가 1-5
명동점,서울특별시 중구 서울특별시 중구 명동1가 48-2 1층
명지대점,서울특별시 서대문구 서울특별시 서대문구 남가좌동 324-3
목동점,서울특별시 양천구 서울특별시 양천구 신정동 899-6
미아DT점,  서울특별시 강북구 미아동 682-12
미아역점,서울특별시 강북구 서울특별시 강북구 미아동 197-5
미아점,서울특별시 강북구 서울특별시 강북구 미아동 71-5
방배점,서울특별시 서초구 서울특별시 서초구 방배동 909-9
방학역DT점,서울특별시 도봉구 서울특별시 도봉구 도봉동 620-25
보라매,  서울특별시 영등포구 신길6동 505
삼선교점,서울특별시 성북구 서울특별시 성북구 동소문동1가 32-3
삼성역점,서울특별시 강남구 서울특별시 강남구 삼성동 158-15
상계DT점,서울특별시 노원구 서울특별시 노원구 상계동 1022
상일동점,"서울특별시 강동구 서울특별시 강동구 상일동 502, 502-1"
서울교대점,서울특별시 서초구 서울특별시 서초구 서초동 1674-5
서울동묘역점,서울특별시 종로구 서울특별시 종로구 창신동 290
서울둔촌DT,서울특별시 강동구 서울특별시 강동구 둔촌동 517-2
서울번동DT점,서울특별시 강북구 서울특별시 강북구 번동 106
서울상암DMC,서울특별시 마포구 서울특별시 마포구 상암동 1602
서울시청점,서울특별시 중구 서울특별시 중구 을지로1가 32 1층
서울시흥DT점,서울특별시 금천구 서울특별시 금천구 시흥동 903-4
서울역점,서울특별시 용산구 서울특별시 용산구 동자동 43-205 서울역 110호
서초GS점,서울특별시 서초구 서울특별시 서초구 서초동 1536-1
서초뱅뱅점,서울특별시 서초구 서울특별시 서초구 서초동 1338-20 현대렉시온 101호
석촌역점,서울특별시 송파구 서울특별시 송파구 송파동 84
선릉점,서울특별시 강남구 서울특별시 강남구 역삼동 707-27 I타워 103호
성균관대점,서울특별시 종로구 서울특별시 종로구 명륜2가 197-1
세이브존 노원점,서울특별시 노원구 서울특별시 노원구 하계동 284 세이브존 1층
송정역점,서울특별시 강서구 서울특별시 강서구 공항동 45-38
송파 잠실 DT점,서울특별시 송파구 서울특별시 송파구 잠실동 305-15
수유점,서울특별시 강북구 서울특별시 강북구 번동 418-18
숭실대점,서울특별시 동작구 서울특별시 동작구 상도동 505-5
신내점,서울특별시 중랑구 서울특별시 중랑구 신내동 666 신아타운 110호
신도림 테크노점,서울특별시 구로구 서울특별시 구로구 구로동 3-25 신도림테크노마트
신도림디큐브점,서울특별시 구로구 서울특별시 구로구 신도림동 692 디큐브시티 지하2층
신림점,서울특별시 관악구 서울특별시 관악구 신림동 1641-22
신사역점,서울특별시 강남구 서울특별시 강남구 신사동 514-15
신월DT점,서울특별시 양천구 서울특별시 양천구 신월동 199-3
신월SK DT점,서울특별시 양천구 서울특별시 양천구 신월동 525-1
신천점,서울특별시 송파구 서울특별시 송파구 잠실동 181-9
쌍문DT점,서울특별시 도봉구 서울특별시 도봉구 쌍문동 700
안국역점,서울특별시 종로구 서울특별시 종로구 안국동 164
안암점,서울특별시 성북구 서울특별시 성북구 안암동5가 102-33
압구정CGV점,서울특별시 강남구 서울특별시 강남구 신사동 603-2
양재SK DT점,서울특별시 서초구 서울특별시 서초구 양재동 81
양재점,서울특별시 서초구 서울특별시 서초구 양재동 24
양천구청DT점,서울특별시 양천구 서울특별시 양천구 신정동 323-20
양평SK점,서울특별시 영등포구 서울특별시 영등포구 양평동3가 80-2
어린이대공원점,서울특별시 광진구 서울특별시 광진구 화양동 212
