"교육청","소재구","학교명","홈페이지 주소","설립","고등학교 유형","남녀","주야","우편번호","주소","전화번호","1학년 학급수","2학년 학급수","3학년 학급수","특수 학급수","1학년 학생수 계","1학년 여학생 수","2학년 학생수 계","2학년 여학생 수","3학년 학생수 계","3학년 여학생 수","학급당 평균 학생수","정규 교원수 계","정규 여교원수","기간제 교원수 계","기간제 여교원수","직원수","여직원수","보통 교실 수","비고"
"서울시","강남구","국악고등학교","http://www.gukak.hs.kr","국립","특수목적고","공학","주간","135-962","서울특별시 강남구 개포로22길 65 (개포동국악고등학교)","02-3497-0800","5","5","5","0","150","126","148","121","148","120","29.7","41","34","0","0","16","6","15",""
"서울시","성북구","서울대학교사범대학부설고등학교","www.snu.hs.kr","국립","일반고","공학","주간","136-090","서울특별시 성북구 월곡로6 국립대학법인서울대학교사범대학부설고등학교 (종암동)","02-913-7307","8","8","8","3","321","154","312","154","340","168","36","57","32","9","5","5","1","27",""
"서울시","금천구","전통예술고등학교","http://kugak-am.hs.kr","국립","특수목적고","공학","주간","153-030","서울특별시 금천구 시흥대로38길 62  전통예술고등학교 (시흥동서울국악예술중.고등학교)","02-896-1094","6","6","6","0","178","144","171","139","172","136","28.9","33","21","3","2","7","2","18",""
"서울시","송파구","가락고등학교","http://www.garak.hs.kr","공립","일반고","공학","주간","138-854","서울특별시 송파구 송이로 42 (송파동가락고등학교)","02-416-4658","12","12","14","0","351","144","388","169","455","210","31.4","78","51","6","6","6","3","37",""
"서울시","서대문구","가재울고등학교","http://www.gajaeul.hs.kr","공립","일반고","공학","주간","120-811","서울특별시 서대문구 수색로 100-35","02-307-6640","8","8","0","2","244","122","281","145","0","0","29.2","37","23","3","2","5","2","31",""
"서울시","강동구","강일고등학교","http://www.gang-il.hs.kr","공립","일반고","공학","주간","134-100","서울특별시 강동구 아리수로98길 40 (강일동서울강일고등학교)","02-428-6801","9","9","9","3","239","101","276","111","253","108","25.6","57","33","3","3","8","7","30",""
"서울시","강남구","개포고등학교","http://www.gaepo.hs.kr","공립","일반고","공학","주간","135-800","서울특별시 강남구 개포로 402 (개포동개포고등학교)","02-576-3334","12","11","11","0","406","195","385","184","414","184","35.4","70","54","8","8","7","5","34",""
"서울시","강남구","경기고등학교","http://kyunggi.hs.kr/","공립","일반고","남자","주간","135-870","서울특별시 강남구 영동대로 643 (삼성동경기고등학교)","02-3496-7300","15","14","14","3","608","0","560","0","569","0","37.8","90","39","5","3","9","3","46",""
"서울시","강남구","경기여자고등학교","http://www.kgg.hs.kr","공립","일반고","여자","주간","135-800","서울특별시 강남구 삼성로 29 (개포동경기여자고등학교)","02-573-6797","13","13","14","3","538","538","539","539","598","598","39","91","70","10","9","9","5","43",""
"서울시","성북구","경동고등학교","www.kyungdong.hs.kr","공립","자율고","남자","주간","136-043","서울특별시 성북구 보문로29길 49 (삼선동3가경동고등학교)","02-928-2077","8","9","13","3","219","0","247","0","385","0","25.8","64","34","3","3","6","2","56",""
