"전철역코드","전철역명","전철역명_영문","호선","외부코드","사이버스테이션","관리소코드","관리소명","개통일","전화번호","FAX번호","우편번호","주소","현장민원소","관광안내소","문화공간","항공권판매","장애인시설","만남의장소","주차장","자전거보관소","무인민원발급기","역무실","수유방","엘레베이터","에스컬레이터","휠체어리프트시설","스피드게이트","화장실","역명한자","유래","X좌표","Y좌표","X좌표(WGS)","Y좌표(WGS)"
"4703","419민주묘지","April 19th National Cemetery","UI","943","4703","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1907","가능","Ganeung","1","109","1907","410000","철도청구간","","031-828-3249","","11678","경기도 의정부시 평화로 633","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","佳陵","각 대신들이 이곳에서 정무를 논의하였다 하여 의정부라는 지명이 생성된데서 유래","509550","1179510","37.748577","127.044213"
"0340","가락시장","Garak Market","3","350","2818","133400","도곡서비스센터","2010-02-18 00:00:00","02-6311-8171","6110-3509","05699","서울특별시 송파구 송파대로 지하 257","N","N","N","N","N","Y","N","N","N","Y","N","Y","Y","N","N","게이트 내부외부","可樂市場","","525992","1108579","37.492522","127.118234"
"0340","가락시장","Garak Market","3","350","2818","133400","도곡서비스센터","2010-02-18 00:00:00","02-6311-8171","6110-3509","05699","서울특별시 송파구 송파대로 지하 257","N","N","N","N","N","Y","N","N","N","Y","N","Y","Y","N","N","게이트 내부외부","可樂市場","○ 가락동은 조선시대 가락골을 중심으로 띄엄띄엄 마을이 있어 자연부락 이름으로 불리어 오다가 을축년(1925년) 대홍수때 한강이 범람하여 송파동 일대가 침수되자 사람들이 이곳으로 이주하여 '가히 살 만한 땅' 즉 좋은 땅이라 하여 붙여진 이름으로 농수산물 종합도매시장이 1985년 6월 1일 개장되어 현재까지 운영되고 있다. 역 이름은 이 시장의 이름을 따왔다.","525992","1108579","37.492522","127.118234"
"2818","가락시장","Garak Market","8","817","2818","350700","잠실역무관리소","2004-6-22 16:57:55","02-6311-8171","","05699","서울특별시 송파구 송파대로 지하 257","N","N","N","N","N","N","N","Y","","","Y","","","","","게이트 외부","可樂市場","","525992","1108579","37.492522","127.118234"
"2818","가락시장","Garak Market","8","817","2818","350700","잠실역무관리소","2004-6-22 16:57:55","02-6311-8171","","05699","서울특별시 송파구 송파대로 지하 257","N","N","N","N","N","N","N","Y","","","Y","","","","","게이트 외부","可樂市場","○ 가락동은 조선시대 가락골을 중심으로 띄엄띄엄 마을이 있어 자연부락 이름으로 불리어 오다가 을축년(1925년) 대홍수때 한강이 범람하여 송파동 일대가 침수되자 사람들이 이곳으로 이주하여 '가히 살 만한 땅' 즉 좋은 땅이라 하여 붙여진 이름으로 농수산물 종합도매시장이 1985년 6월 1일 개장되어 현재까지 운영되고 있다. 역 이름은 이 시장의 이름을 따왔다.","525992","1108579","37.492522","127.118234"
"1702","가산디지털단지","Gasan Digital Complex","1","P142","1702","410000","철도청구간","","02-2639-3332","","08510","서울특별시 금천구 벚꽃로 309","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","加山디지털團地","","473861","1105307","37.481072","126.882343"
"1702","가산디지털단지","Gasan Digital Complex","1","P142","1702","410000","철도청구간","","02-2639-3332","","08510","서울특별시 금천구 벚꽃로 309","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","加山디지털團地","역이 위치한 행정구역명과 서울디지털산업단지가 입지한 지역특성 감안하여 2005년 7월 1일 "가리봉"에서 "가산디지털단지"로 역명을 변경","473861","1105307","37.481072","126.882343"
"2748","가산디지털단지","Gasan Digital Complex","7","746","1702","350650","광명역무관리소","2000-02-29 00:00:00","02-6311-7461","구)7480-204","08510","서울특별시 금천구 벚꽃로 309","N","N","N","N","Y","Y","N","Y","","","Y","","","","","게이트 외부","加山디지털團地","","473861","1105307","37.481072","126.882343"
"2748","가산디지털단지","Gasan Digital Complex","7","746","1702","350650","광명역무관리소","2000-02-29 00:00:00","02-6311-7461","구)7480-204","08510","서울특별시 금천구 벚꽃로 309","N","N","N","N","Y","Y","N","Y","","","Y","","","","","게이트 외부","加山디지털團地","역이 위치한 행정구역명과 서울디지털산업단지가 입지한 지역특성 감안하여 2005년 7월 1일 "가리봉"에서 "가산디지털단지"로 역명을 변경","473861","1105307","37.481072","126.882343"
"4107","가양","Gayang","9","907","4107","410000","9호선구간","2009-7-24","02-2656-0907","","07526","서울특별시 강서구 양천로 지하 485","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","게이트 외부","加陽","역명은 동명에서 유래했다.","467700","1127500","37.561391","126.854456"
"4704","가오리","Gaori","UI","944","4704","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
