"교육청","소재구","유치원명","설립","우편번호","주소","전화번호","학급수","학생수 계","여 학생수","정규 교원수 계","정규 여 교원수","기간제 교원수 계","기간제 여 교원수","비고"
"강동송파","강동구","그리새유치원","사립","134-880","서울특별시 강동구 천호대로187길 53-18 (길동)","02-474-6800","2","40","18","3","3","0","0",""
"강동송파","강동구","근화유치원","사립","134-786","서울특별시 강동구 고덕로62길 48 (명일동신동아아파트 상가)","02-481-1144","2","74","36","5","5","0","0",""
"강동송파","강동구","녹원유치원","사립","134-827","서울특별시 강동구 상암로63길 39-10 (명일동)","02-481-3141","4","111","57","7","7","0","0",""
"강동송파","강동구","돌샘유치원","사립","134-715","서울특별시 강동구 고덕로 131 (암사동강동 롯데캐슬퍼스트아파트)","02-3426-5472","8","210","120","14","14","0","0",""
"강동송파","강동구","둔촌유치원","사립","134-822","서울특별시 강동구 풍성로63길 73 (둔촌동둔촌유치원)","02-475-7913","3","67","41","6","6","0","0",""
"강동송파","강동구","둘리유치원","사립","134-837","서울특별시 강동구 구천면로 668 (상일동)","02-426-6114","1","25","12","3","3","0","0",""
"강동송파","강동구","명덕유치원","사립","134-806","서울특별시 강동구 동남로83길 66 (고덕동)","02-426-1196","9","205","99","12","12","0","0",""
"강동송파","강동구","반석유치원","사립","134-808","서울특별시 강동구 양재대로124길 89-18 (길동)","02-485-8540","5","79","46","9","9","0","0",""
"강동송파","강동구","서울유치원","사립","134-877","서울특별시 강동구 올림픽로 795 (암사동서울유치원)","02-3428-6969","3","99","51","7","7","0","0",""
"강동송파","강동구","선아유치원","사립","134-837","서울특별시 강동구 구천면로 636 (상일동고덕주공아파트)","02-427-0294","3","73","36","4","4","0","0",""
"강동송파","강동구","성보나유치원","사립","134-800","서울특별시 강동구 고덕로83길 68 (고덕동)","02-427-1123","3","90","47","6","6","0","0",""
"강동송파","강동구","송원유치원","사립","134-845","서울특별시 강동구 성안로 64 (성내동)","02-476-8938","5","137","55","8","8","0","0",""
"강동송파","강동구","연세유치원","사립","134-859","서울특별시 강동구 올림픽로98가길 38 (암사동연세유치원)","02-442-5557","2","52","27","4","4","0","0",""
"강동송파","강동구","예슬유치원","사립","134-703","서울특별시 강동구 상암로 11 (암사동선사현대아파트)","02-3013-7878","12","295","143","10","10","0","0",""
"강동송파","강동구","예크유치원","사립","134-880","서울특별시 강동구 천호대로187길 73-10 (길동)","02-478-0065","7","130","62","12","12","0","0",""
"강동송파","강동구","오송유치원","사립","134-867","서울특별시 강동구 구천면로39길 26 (천호동)","02-484-8536","7","72","33","8","7","0","0",""
"강동송파","강동구","유봉유치원","사립","134-855","서울특별시 강동구 아리수로 46-14 (암사동)","02-426-9295","5","106","48","7","7","0","0",""
