"교육청","소재구","학교명","홈페이지 주소","설립","남녀","우편번호","주소","전화번호","1학년 학급수","2학년 학급수","3학년 학급수","특수 학급수","1학년 학생수 계","1학년 여학생 수","2학년 학생수 계","2학년 여학생 수","3학년 학생수 계","3학년 여학생 수","학급당 평균 학생수","정규 교원수 계","정규 여교원수","기간제 교원수 계","기간제 여교원수","직원수","여직원수","보통 교실 수","비고"
"남부","영등포구","양화중학교","http://www.yangwha.ms.kr","공립","공학","150-834","서울특별시 영등포구 당산로 56 (문래동3가양화중학교)","02-2676-2282","8","9","8","1","231","116","287","150","246","117","29.4","45","38","2","2","4","2","27",""
"남부","영등포구","여의도중학교","http://www.yeouido.ms.kr","공립","공학","150-888","서울특별시 영등포구 국제금융로7길 46 (여의도동여의도중학교)","02-2199-9500","11","10","11","1","328","158","334","162","349","165","30.6","57","40","9","5","4","1","43",""
"남부","영등포구","영남중학교","http://yeongnam.ms.kr","공립","공학","150-815","서울특별시 영등포구 대림로31나길 17 (대림동영남중학교)","02-833-1003","8","10","9","3","257","104","300","124","296","145","28.4","50","44","8","5","4","1","30",""
"남부","구로구","영림중학교","http://younglim.ms.kr/","공립","공학","152-842","서울특별시 구로구 가마산로27길 17 (구로동영림중학교)","02-859-0322","10","12","12","1","292","144","387","182","378","206","30.2","59","40","10","9","4","2","39",""
"남부","구로구","영서중학교","http://www.yeongseo.ms.kr","공립","공학","152-847","서울특별시 구로구 도림로20길 35 (구로동영서중학교)","02-856-9567","8","10","9","3","259","128","324","132","302","139","29.5","50","43","10","9","6","5","37",""
"남부","영등포구","영원중학교","http://www.youngwon.ms.kr","공립","공학","150-030","서울특별시 영등포구 영등포로62길 31 (영등포동영원중학교)","02-843-2028","9","12","10","2","265","126","365","163","325","139","28.9","54","42","12","11","4","2","34",""
"남부","구로구","오남중학교","http://www.ohnam.ms.kr","공립","공학","152-904","서울특별시 구로구 오리로9길 25 (오류동오남중학교)","02-2687-4235","6","8","11","1","191","103","266","144","337","171","30.5","45","29","3","3","4","1","28",""
"남부","구로구","오류중학교","http://www.oryu.ms.kr","공립","공학","152-833","서울특별시 구로구 고척로27바길 19 (고척동오류중학교)","02-2612-2602","8","8","9","1","233","95","230","107","252","121","27.5","44","28","3","3","4","2","29",""
"남부","영등포구","윤중중학교","http://www.yunjung.ms.kr","공립","공학","150-887","서울특별시 영등포구 여의동로3길 3 (여의도동윤중중학교)","02-780-8842","7","9","10","2","217","106","268","126","319","136","28.7","48","41","2","2","4","1","35",""
"남부","구로구","천왕중학교","http://cheonwang.ms.kr","공립","공학","152-130","서울특별시 구로구 천왕로 63 (천왕동 천왕중학교)","02-2618-2833","8","8","0","1","245","171","253","186","0","0","29.3","30","21","3","3","4","1","0",""
"남부","금천구","한울중학교","http://www.hanwool.ms.kr","공립","공학","153-820","서울특별시 금천구 남부순환로128길 42 (한울중학교)","02-856-4941","9","8","9","0","243","130","243","118","267","130","29","45","38","11","8","3","1","29",""
"남부","금천구","동일중학교","http://www.dongil.ms.kr","사립","공학","153-030","서울특별시 금천구 탑골로10길 45 (시흥동)","02-803-9805","8","8","8","0","224","144","257","170","260","147","30.9","38","20","6","6","4","1","24",""
"남부","금천구","문일중학교","http://www.moonil.ms.kr","사립","남자","153-847","서울특별시 금천구 시흥대로47길 45  문일중학교 (시흥동문일고등학교)","02-808-0297","8","8","8","0","188","0","206","0","226","0","25.8","39","12","8","4","4","1","24",""
"남부","구로구","우신중학교","http://wooshin.ms.kr","사립","남자","152-883","서울특별시 구로구 부일로 917 (궁동우신중학교)","02-2610-1678","6","6","6","0","158","0","147","0","165","0","26.1","29","3","4","3","4","0","18",""
"북부","노원구","공릉중학교","http://kongrung.ms.kr","공립","공학","139-800","서울특별시 노원구 노원로1길 42 (공릉동공릉중학교)","02-971-5213","10","10","9","1","327","159","327","156","312","152","32.2","48","32","9","8","5","2","32",""
